label,riverLabel,countryLabel
紐阿福歐島,Niuafoʻou,Tonga
托木尔峰,Dzjengisj Tjokusu,Kyrgyzstan
休息的摩,Har HaMenuchot,Israel
阿達梅洛山,Mount Adamello,Italy
安達太良山,Mount Adatara,Japan
亞利島,Gyali,Greece
布罗肯峰,Brocken,Germany
菲希特尔贝尔格,Fichtelberg,Germany
阿贡火山,Gunung Agung,Indonesia
塔乌鲁火山,Tavurvur,Papua New Guinea
阿尔帕玛尤山,Alpamayo,Peru
伊薩諾茨基火山,Isanotski Peaks,United States of America
馬拉德塔山,Maladeta,Spain
别济米安纳火山,Bezymianny,Russia
賈維斯火山,Mount Jarvis,United States of America
贡嘎山,Mount Gongga,People's Republic of China
馬卡雷納山脈,Serranía de la Macarena,Colombia
帕里纳科塔火山,Parinacota,Chile
蒂納庫拉島,Tinakula,Solomon Islands
帕里纳科塔火山,Parinacota,Bolivia
亞曼套山,Mount Yamantau,Russia
萨哈马火山,Nevado Sajama,Bolivia
巴圖山,Mount Batu,Ethiopia
鼓山,Q282982,People's Republic of China
阿迪隆加托吉峰,Mount Adelung,Uzbekistan
奥林匹斯山,Mount Olympus,Cyprus
布洛阿特峰,Broad Peak,Pakistan
藏王連峰,Mount Zaō,Japan
坦博拉火山,Tambora,Indonesia
霍馬山,Mount Homa,Kenya
馬庫斯貝克峰,Mount Marcus Baker,United States of America
圖努帕火山,Tunupa volcano,Bolivia
寧巴峰,Mount Richard-Molard,Guinea
蘭格爾山,Mount Wrangell,United States of America
普洛格山,Mount Pulag,Philippines
馬爾莫萊霍火山,Marmolejo,Argentina
馬爾莫萊霍火山,Marmolejo,Chile
西蒙玻利瓦爾峰,Pico Simón Bolívar,Colombia
沙帕爾谷山,Chappal Waddi,Nigeria
塔塔薩巴亞火山,Tata Sabaya,Bolivia
加勒拉斯火山,Galeras,Colombia
杰贝尔·阿尔泰尔岛,Jabal al-Tair Island,Yemen
基赫皮內奇火山,Kikhpinych,Russia
黑门山,Mount Hermon,Lebanon
黑门山,Mount Hermon,Israel
賈拉維察山,Đeravica,Kosovo
马纳斯卢峰,Manaslu,Nepal
北岳,Mount Kita,Japan
賈拉維察山,Đeravica,Serbia
文德尔施泰因,Wendelstein,Germany
瓦尔斯堡山,Vaalserberg,Belgium
瓦尔斯堡山,Vaalserberg,Netherlands
拉斯托爾托拉斯山,Cerro Las Tórtolas,Argentina
土朱山,Mount Tujuh,Indonesia
拉斯托爾托拉斯山,Cerro Las Tórtolas,Chile
祖玛岩,Zuma Rock,Nigeria
內瓦多·德·魯伊斯火山,Nevado del Ruiz,Colombia
科爾科瓦多火山,Corcovado Volcano,Chile
海克拉火山,Hekla,Iceland
冈嘎本孙峰,Gangkhar Puensum,People's Republic of China
阿卡特南戈火山,Acatenango,Guatemala
斯諾登山,Snowdon,United Kingdom
三輪山,Mount Miwa,Japan
帕瑞納山,Cerro Paranal,Chile
富埃戈火山,Volcán de Fuego,Guatemala
克拉庫斯丘,Krakus Mound,Poland
卡雷姆火山,Karymsky,Russia
因巴布拉山,Imbabura Volcano,Ecuador
欽戈火山,Chingo,El Salvador
欽戈火山,Chingo,Guatemala
卡爾卡爾島,Karkar Island,Papua New Guinea
奇里波峰,Cerro Chirripó,Costa Rica
卡拉斯山,Caraz,Peru
拉馬爾摩拉峰,Punta La Marmora,Italy
格重康峰,Gyachung Kang,Nepal
皮西斯峰,Monte Pissis,Argentina
班代拉峰,Pico da Bandeira,Brazil
格重康峰,Gyachung Kang,People's Republic of China
岩手山,Mount Iwate,Japan
羊蹄山,Mount Yōtei,Japan
帕亞查塔火山,Nevados de Payachata,Chile
帕亞查塔火山,Nevados de Payachata,Bolivia
科拉松火山,Corazón,Ecuador
托羅山,El Toro,Spain
安納塔漢島,Anatahan,United States of America
喬拉傑峰,Cholatse,Nepal
乌斯秋尔特高原,Ustyurt Plateau,Kazakhstan
大山 (神奈川縣),Mount Ōyama,Japan
乌斯秋尔特高原,Ustyurt Plateau,Uzbekistan
懷厄萊阿萊峰,Mount Waialeale,United States of America
拉耶瓜达火山,La Yeguada,Panama
蒙塔涅薩峰,Peña Montañesa,Spain
阿西尼博因山,Mount Assiniboine,Canada
